rdt_id,start_hour,day_of_week,month,is_weekend,number_of_affected_stations,number_of_affected_lines,primary_line,cause_group,statistical_cause_nl,long_disruption
59595,3,Wednesday,4,0,6,1.0,Aachen Hbf - Heerlen,staff,problemen met de personeelsinzet,1
59596,5,Wednesday,4,0,3,1.0,Arnhem Centraal - Winterswijk,infrastructure,sein- en wisselstoring,1
59597,7,Wednesday,4,0,6,2.0,Liège-Guillemins - Maastricht,rolling stock,beperkingen in de materieelinzet,1
59598,8,Wednesday,4,0,2,1.0,Rotterdam Centraal - Schiphol Airport (HSL),rolling stock,defecte trein,0
59599,8,Wednesday,4,0,3,1.0,Amersfoort - Zwolle,infrastructure,seinstoring,1
59600,8,Wednesday,4,0,4,2.0,Almere Oostvaarders - Utrecht Centraal,rolling stock,defecte trein,0
59601,8,Wednesday,4,0,5,1.0,Breda - Tilburg,accidents,aanrijding,1
59602,9,Wednesday,4,0,6,1.0,Arnhem Centraal - Zutphen,infrastructure,sein-en overwegstoring,1
59604,10,Wednesday,4,0,3,1.0,Deventer - Zwolle,rolling stock,defecte trein,0
59605,12,Wednesday,4,0,2,1.0,Breda - Rotterdam Centraal (HSL),rolling stock,gestrande trein,0
59606,12,Wednesday,4,0,7,1.0,Den Haag HS - Rotterdam Centraal,rolling stock,defecte trein,0
59607,12,Wednesday,4,0,3,1.0,Nijmegen - Venlo,infrastructure,seinstoring,1
59608,12,Wednesday,4,0,15,3.0,Den Haag Centraal - Den Haag HS,rolling stock,gestrande trein,0
59609,12,Wednesday,4,0,5,3.0,Almere Oostvaarders - Utrecht Centraal,rolling stock,defecte trein,0
